배추,1033,980,964,1086,1171,927,1162,1971,2596,1230,656,526,1365,1223,1294,0,1244,1228,1264,1815,2034,1488,664,632
양배추,1620,1480,1375,1838,1178,646,673,1135,1629,2134,1593,921,1665,0,1474,2153,1588,1056,841,1365,1755,2146,1780,0
시금치,2336,2270,2547,2588,2571,3597,5178,9789,10844,3027,2462,2226,7051,7075,6745,6544,6562,7818,10782,17671,20611,10271,8683,8920
적상추,6895,2959,2976,2566,3240,4409,7455,12327,7600,2996,2795,3844,13728,10308,8379,7513,7683,9638,14639,21578,17224,10348,7668,8206
청상추,5976,2699,3002,2455,2740,4262,6936,12258,6876,2746,2651,3616,14873,11838,9183,8218,8287,10391,15658,23500,18858,11631,8262,8919
얼갈이배추,1236,1306,1187,1251,1261,1474,1864,3573,2322,1143,907,1015,2973,2910,2886,2684,2203,2253,2610,3981,4400,2897,2263,2005
수박,18870,19663,18845,17060,15789,16133,16756,20384,22145,9465,7647,8470,25327,26972,23450,20598,17810,16166,19041,20882,22962,20574,17733,18827
오이,4398,4238,2316,1570,1634,1528,1733,3226,3508,1538,2092,2373,7445,7985,6066,7164,3582,3610,4610,6422,7190,4367,3915,5288
애호박,1612,1560,1357,757,707,731,913,2134,1684,716,787,1127,2237,2205,2169,1227,1115,1244,1413,3064,2465,1356,1156,1456
토마토,3282,3719,4375,4214,2368,1754,2386,2964,5035,5002,3526,2917,5908,6210,6330,5553,3937,3194,4329,5745,7436,11288,7474,5428
무,1090,598,517,514,489,613,682,923,1296,855,556,522,2867,1809,1421,1400,1271,1398,1710,2144,3412,2618,1937,1677
당근,2229,1791,2354,2963,2146,1815,2120,2299,3526,3344,2111,1310,3171,3105,2971,3451,3163,2854,2756,2780,3517,4136,3719,3055
열무,1715,1795,2209,1850,1850,2089,2068,3168,2742,1574,1130,1393,3084,3027,2935,2643,2174,2280,2504,3972,4427,2896,2454,2240
건고추(화건),13337,13253,13361,13533,13575,14737,15087,23083,29041,27073,27491,26879,17955,18600,18600,0,0,0,0,36808,38014,37672,37536,38476
건고추(양건),17667,17188,17066,17000,17014,17782,18091,23242,35050,33947,34390,34393,23267,0,0,0,0,0,29667,35940,32692,34782,38285,38677
풋고추,6525,8404,6218,4779,4060,4258,4589,5133,9275,6328,4902,2818,14676,17950,16778,11562,10208,10506,12719,13568,17794,15996,12261,9101
꽈리고추,8075,6275,5434,4798,5963,5871,5849,7691,12887,5943,4770,5026,16579,15689,15410,11337,10128,10730,11675,14404,21212,14257,11269,10556
청양고추,7917,11349,7365,3730,3690,3953,4896,6067,10007,6488,4482,3570,16538,19492,17429,10064,8578,8754,11181,13890,18143,14172,10395,8750
붉은고추,6393,6026,11096,10333,4511,5677,4792,5892,8584,20147,14752,6000,19133,19053,24160,25224,13376,14071,14697,17416,19633,37950,43708,23656
양파,929,1100,1173,1145,1003,701,803,1025,1182,1187,1277,1324,1646,1803,2474,2397,2338,2182,1956,1998,2111,2308,2337,2397
대파,1657,1363,1064,1265,1664,1852,1982,3081,3178,3019,2982,2442,2907,2225,2090,2007,2587,2925,3120,3920,4575,4916,4869,4217
쪽파,4163,3939,2660,3490,4165,5348,6128,8515,9776,4880,6051,5333,8707,7136,6315,6661,8614,9202,7238,9236,11602,7684,8452,8809
생강,6555,6651,8763,8683,9019,9994,10257,10328,7205,4718,5210,5713,13962,12719,14637,14239,14472,14580,15057,15889,15650,11269,9656,10426
고춧가루,26286,26004,26371,26415,26229,26094,26037,27540,32015,34124,35337,35791,27196,26683,27351,27500,27354,27123,26968,27692,30030,32548,33968,34474
미나리,4791,4404,4335,3400,3161,2573,2453,5126,6402,4995,6189,5744,14031,12153,5729,5850,7235,5932,4574,10523,15248,11819,10761,10760
깻잎,17864,10882,9930,9603,9548,9108,10001,18775,17827,11038,9475,9605,24519,22881,22250,21103,20368,20612,21094,32138,34697,25781,22301,21872
피망,6217,8419,4299,2190,2398,3428,2921,3891,9553,5383,3009,2419,14079,20253,15009,8467,8865,10461,11378,12247,21818,17149,11225,8870
파프리카,7134,7211,6797,4946,3453,3146,3387,6440,9965,7048,4635,3777,9312,9464,9189,6928,5887,5607,5525,8253,11436,11013,7203,5927
멜론,4130,4339,4472,3910,3772,3744,3302,3529,4088,3577,3432,3858,12455,12896,11955,11939,9767,8627,7581,8238,10399,10047,10226,11129
방울토마토,5808,4994,5537,4730,2852,2867,3889,4331,5508,6533,3172,3230,9263,7977,8017,7647,6399,5580,6311,8013,9751,10834,8591,7348
대추방울토마토,6524,6409,7408,6497,5009,3670,3857,4637,6162,7892,6791,5608,8506,8196,8386,7953,6750,6861,7302,8223,10521,12694,11066,7991
쌀,2355,2353,2355,2350,2349,2420,2436,2470,2536,2620,2780,2810,2555,2556,2542,2540,2551,2550,2546,2588,2585,2895,2950,3068
찹쌀,2762,2743,2710,2688,2722,2823,2885,2934,3084,3082,3228,3295,4726,4739,4690,5103,4882,4575,4632,4618,4728,4799,4934,5188
흰콩,5103,5100,5109,5116,5135,5224,5296,5280,5376,5415,5815,6165,11064,11024,10980,10879,10819,10824,10977,10899,10882,11182,11485,12471
붉은팥,8525,8474,8406,8425,8462,8689,8829,8885,9127,9574,11336,11995,15923,15526,18148,17690,17703,15837,15474,15598,15597,15641,18244,19708
녹두,9864,9895,9903,10304,10700,10832,11202,11598,12457,13559,14651,15835,18684,18950,19700,20050,19865,20370,20370,20370,23180,27974,30629,31183
고구마,2622,2770,3559,4176,5386,5789,6106,5577,3883,3357,3626,3853,4005,3836,4401,4979,6261,7088,7586,8211,6504,5669,5757,5867
참깨,24976,27413,43154,43158,42703,42982,43065,43446,44377,46374,47884,47707,16067,16120,16389,16674,17100,17219,17417,18189,22068,25553,27717,29328
땅콩,27887,28258,28300,28297,28489,28601,27721,27366,28164,28980,30947,29638,12780,12736,12632,13206,13674,14614,15010,15356,15524,14765,14667,14136
느타리버섯,13579,13435,13797,11992,10475,12224,13648,14884,14017,11814,13075,14200,8088,6045,5560,5985,7511,6592,6055,4119,4690,3763,3229,3043
애느타리버섯,5361,5240,5227,4979,4720,5060,4755,5015,5485,5270,5189,5262,4400,3387,3298,3118,2700,2692,3219,3929,4658,3773,3377,3931
팽이버섯,3729,3669,3627,3481,3532,3539,3435,3148,3361,3340,3330,3318,3544,2507,2070,1752,1908,2083,1893,2002,2417,2142,1889,1847
새송이버섯,5497,5358,5178,5136,5179,5213,5153,5297,5261,5338,4967,5249,4638,3424,3542,3548,3921,3581,3502,3509,4125,4247,4115,3625
사과,3882,3634,3782,4042,5598,6146,6807,7197,0,5804,5203,6058,5072,6020,5654,6007,6570,6572,7646,9422,0,9930,8513,7384
배,2895,3005,3017,3155,3660,3768,3846,3771,4320,4249,4359,4701,5254,5085,6907,5393,5373,5419,5751,6081,5583,5441,5636,5937
